listing_id,title,property_type,bedrooms,bathrooms,area_sqft,price_aed,price_per_sqft,location,building,developer,agent_id,listing_status,listing_date,last_updated,views_count,furnished,parking_spaces,balcony,gym_access,pool_access,security,description
LST-000014,2BR Apartment in Ranches Heights,apartment,2,2,1732,1890278,1091,Arabian Ranches,Ranches Heights,Sobha Realty,Khalid Al Suwaidi,active,2025-06-07,2025-08-31,826,True,3,False,False,False,False,"Beautiful 2-bedroom apartment in prestigious Ranches Heights, Arabian Ranches. Features 2 bathrooms, 1732 sqft of living space. Perfect for professionals."
LST-000015,4BR Villa in Ranches Residences,villa,4,5,1745,4482077,2568,Arabian Ranches,Ranches Residences,Al Habtoor Group,Sarah Johnson,sold,2025-08-01,2025-08-31,152,False,1,True,True,True,True,"Beautiful 4-bedroom villa in prestigious Ranches Residences, Arabian Ranches. Features 5 bathrooms, 1745 sqft of living space. Perfect for families."
LST-000016,2BR Penthouse in The Address,penthouse,2,4,1404,4479260,3190,Downtown Dubai,The Address,Emaar Properties,Mohammed Al Rashid,withdrawn,2024-09-28,2025-08-31,1245,False,2,True,False,True,False,"Beautiful 2-bedroom penthouse in prestigious The Address, Downtown Dubai. Features 4 bathrooms, 1404 sqft of living space. Perfect for professionals."
LST-000017,5BR Townhouse in DIFC Views,townhouse,5,6,3402,5507424,1618,DIFC,DIFC Views,Damac Properties,Ahmed Al Mansouri,withdrawn,2024-10-16,2025-08-31,1203,True,0,True,False,True,False,"Beautiful 5-bedroom townhouse in prestigious DIFC Views, DIFC. Features 6 bathrooms, 3402 sqft of living space. Perfect for families."
LST-000018,4BR Townhouse in The Address,townhouse,4,4,2197,4156889,1892,Downtown Dubai,The Address,Select Group,David Wilson,active,2024-09-23,2025-08-31,1723,False,0,True,False,True,True,"Beautiful 4-bedroom townhouse in prestigious The Address, Downtown Dubai. Features 4 bathrooms, 2197 sqft of living space. Perfect for families."
LST-000019,4BR Townhouse in Ranches Views,townhouse,4,6,1731,3360679,1941,Arabian Ranches,Ranches Views,Sobha Realty,Fatima Al Qassimi,withdrawn,2025-04-24,2025-08-31,1904,True,0,False,False,True,True,"Beautiful 4-bedroom townhouse in prestigious Ranches Views, Arabian Ranches. Features 6 bathrooms, 1731 sqft of living space. Perfect for families."
LST-000020,3BR Townhouse in Jumeirah Views,townhouse,3,5,2004,3397548,1695,Jumeirah,Jumeirah Views,Azizi Developments,Ahmed Al Mansouri,active,2025-07-23,2025-08-31,1985,True,0,False,True,False,True,"Beautiful 3-bedroom townhouse in prestigious Jumeirah Views, Jumeirah. Features 5 bathrooms, 2004 sqft of living space. Perfect for families."
LST-000021,2BR Townhouse in Marina Promenade,townhouse,2,3,1330,2817529,2118,Dubai Marina,Marina Promenade,Omniyat,Emily Chen,sold,2024-11-17,2025-08-31,1860,False,1,True,True,True,False,"Beautiful 2-bedroom townhouse in prestigious Marina Promenade, Dubai Marina. Features 3 bathrooms, 1330 sqft of living space. Perfect for professionals."
LST-000022,5BR Townhouse in Marina Gate,townhouse,5,7,3269,5297976,1620,Dubai Marina,Marina Gate,Sobha Realty,Fatima Al Qassimi,under_contract,2024-09-05,2025-08-31,271,False,0,False,True,True,False,"Beautiful 5-bedroom townhouse in prestigious Marina Gate, Dubai Marina. Features 7 bathrooms, 3269 sqft of living space. Perfect for families."
LST-000023,4BR Villa in Jumeirah Central,villa,4,4,2651,3801809,1434,Jumeirah,Jumeirah Central,Dubai Properties,Fatima Al Qassimi,active,2025-04-10,2025-08-31,769,False,2,True,True,False,True,"Beautiful 4-bedroom villa in prestigious Jumeirah Central, Jumeirah. Features 4 bathrooms, 2651 sqft of living space. Perfect for families."
LST-000024,4BR Apartment in JBR Heights,apartment,4,5,2792,3551024,1271,JBR,JBR Heights,Azizi Developments,Emily Chen,withdrawn,2024-11-08,2025-08-31,439,False,0,False,True,True,False,"Beautiful 4-bedroom apartment in prestigious JBR Heights, JBR. Features 5 bathrooms, 2792 sqft of living space. Perfect for families."
LST-000025,4BR Townhouse in DIFC Heights,townhouse,4,6,3036,3530592,1162,DIFC,DIFC Heights,Meraas,David Wilson,withdrawn,2025-03-16,2025-08-31,874,False,1,True,False,False,True,"Beautiful 4-bedroom townhouse in prestigious DIFC Heights, DIFC. Features 6 bathrooms, 3036 sqft of living space. Perfect for families."
LST-000026,0BR Studio in JBR Residences,studio,0,1,1087,821459,755,JBR,JBR Residences,Binghatti Developers,Aisha Al Falasi,withdrawn,2025-01-16,2025-08-31,955,True,3,True,True,False,False,"Beautiful 0-bedroom studio in prestigious JBR Residences, JBR. Features 1 bathrooms, 1087 sqft of living space. Perfect for professionals."
LST-000027,3BR Townhouse in The Address,townhouse,3,3,1401,1955987,1396,Downtown Dubai,The Address,Sobha Realty,Amanda Davis,active,2025-01-09,2025-08-31,898,True,3,False,False,True,True,"Beautiful 3-bedroom townhouse in prestigious The Address, Downtown Dubai. Features 3 bathrooms, 1401 sqft of living space. Perfect for families."
LST-000028,3BR Penthouse in Marina Heights,penthouse,3,3,2746,7212093,2626,Dubai Marina,Marina Heights,Union Properties,Abdullah Al Muhairi,active,2024-11-18,2025-08-31,560,True,3,True,False,False,False,"Beautiful 3-bedroom penthouse in prestigious Marina Heights, Dubai Marina. Features 3 bathrooms, 2746 sqft of living space. Perfect for families."
LST-000029,1BR Studio in Ranches Residences,studio,1,1,2223,1500000,674,Arabian Ranches,Ranches Residences,Deyaar Development,Fatima Al Qassimi,under_contract,2024-10-08,2025-08-31,617,False,1,False,False,True,False,"Beautiful 1-bedroom studio in prestigious Ranches Residences, Arabian Ranches. Features 1 bathrooms, 2223 sqft of living space. Perfect for professionals."
LST-000030,4BR Townhouse in Bay Heights,townhouse,4,6,1465,2176655,1485,Business Bay,Bay Heights,Sobha Realty,Khalid Al Suwaidi,under_contract,2024-09-03,2025-08-31,488,True,3,False,False,False,False,"Beautiful 4-bedroom townhouse in prestigious Bay Heights, Business Bay. Features 6 bathrooms, 1465 sqft of living space. Perfect for families."
LST-000031,5BR Penthouse in Marina Gate,penthouse,5,7,3437,7227191,2102,Dubai Marina,Marina Gate,Binghatti Developers,Khalid Al Suwaidi,withdrawn,2025-08-27,2025-08-31,1980,False,2,False,False,True,False,"Beautiful 5-bedroom penthouse in prestigious Marina Gate, Dubai Marina. Features 7 bathrooms, 3437 sqft of living space. Perfect for families."
LST-000032,5BR Penthouse in Bay Heights,penthouse,5,5,2296,4804046,2092,Business Bay,Bay Heights,Omniyat,Khalid Al Suwaidi,under_contract,2025-01-03,2025-08-31,1933,True,0,False,True,True,False,"Beautiful 5-bedroom penthouse in prestigious Bay Heights, Business Bay. Features 5 bathrooms, 2296 sqft of living space. Perfect for families."
LST-000033,3BR Villa in Palm Gardens,villa,3,4,1876,3363885,1793,Palm Jumeirah,Palm Gardens,Deyaar Development,Aisha Al Falasi,sold,2025-02-17,2025-08-31,619,False,2,True,False,True,True,"Beautiful 3-bedroom villa in prestigious Palm Gardens, Palm Jumeirah. Features 4 bathrooms, 1876 sqft of living space. Perfect for families."
LST-000034,1BR Apartment in Jumeirah Views,apartment,1,1,1206,1109057,919,Jumeirah,Jumeirah Views,Emaar Properties,Ali Hassan,under_contract,2025-06-27,2025-08-31,1019,True,1,False,False,False,True,"Beautiful 1-bedroom apartment in prestigious Jumeirah Views, Jumeirah. Features 1 bathrooms, 1206 sqft of living space. Perfect for professionals."
LST-000035,2BR Townhouse in The Address,townhouse,2,4,952,2649512,2783,Downtown Dubai,The Address,Al Habtoor Group,Khalid Al Suwaidi,withdrawn,2025-05-21,2025-08-31,205,True,0,False,True,True,False,"Beautiful 2-bedroom townhouse in prestigious The Address, Downtown Dubai. Features 4 bathrooms, 952 sqft of living space. Perfect for professionals."
LST-000036,2BR Townhouse in Ranches Residences,townhouse,2,4,2226,3241287,1456,Arabian Ranches,Ranches Residences,Azizi Developments,Amanda Davis,active,2025-01-21,2025-08-31,791,False,1,False,True,False,False,"Beautiful 2-bedroom townhouse in prestigious Ranches Residences, Arabian Ranches. Features 4 bathrooms, 2226 sqft of living space. Perfect for professionals."
LST-000037,1BR Studio in Hills Residences,studio,1,2,1202,1301035,1082,Emirates Hills,Hills Residences,Damac Properties,Fatima Al Qassimi,withdrawn,2025-04-28,2025-08-31,1586,False,3,False,True,False,False,"Beautiful 1-bedroom studio in prestigious Hills Residences, Emirates Hills. Features 2 bathrooms, 1202 sqft of living space. Perfect for professionals."
LST-000038,5BR Villa in Palm Gardens,villa,5,6,2197,3577938,1628,Palm Jumeirah,Palm Gardens,Al Habtoor Group,Fatima Al Qassimi,active,2024-12-09,2025-08-31,1991,True,0,True,False,False,True,"Beautiful 5-bedroom villa in prestigious Palm Gardens, Palm Jumeirah. Features 6 bathrooms, 2197 sqft of living space. Perfect for families."
LST-000039,2BR Penthouse in Hills Residences,penthouse,2,2,1502,3733697,2485,Emirates Hills,Hills Residences,Select Group,Jennifer Smith,sold,2024-09-25,2025-08-31,1241,False,3,False,False,False,False,"Beautiful 2-bedroom penthouse in prestigious Hills Residences, Emirates Hills. Features 2 bathrooms, 1502 sqft of living space. Perfect for professionals."
LST-000040,4BR Townhouse in Hills Central,townhouse,4,4,1547,3139866,2029,Emirates Hills,Hills Central,Dubai Properties,Emily Chen,under_contract,2025-05-24,2025-08-31,493,False,2,False,True,True,False,"Beautiful 4-bedroom townhouse in prestigious Hills Central, Emirates Hills. Features 4 bathrooms, 1547 sqft of living space. Perfect for families."
LST-000041,5BR Villa in Bay Heights,villa,5,5,2950,4986140,1690,Business Bay,Bay Heights,Meraas,Sarah Johnson,active,2024-11-20,2025-08-31,648,True,3,True,True,False,False,"Beautiful 5-bedroom villa in prestigious Bay Heights, Business Bay. Features 5 bathrooms, 2950 sqft of living space. Perfect for families."
LST-000042,3BR Townhouse in Hills Residences,townhouse,3,3,1617,3571258,2208,Emirates Hills,Hills Residences,Deyaar Development,Emily Chen,active,2025-02-06,2025-08-31,1057,True,0,True,True,False,True,"Beautiful 3-bedroom townhouse in prestigious Hills Residences, Emirates Hills. Features 3 bathrooms, 1617 sqft of living space. Perfect for families."
LST-000043,1BR Studio in Bay Square,studio,1,3,1920,1500000,781,Business Bay,Bay Square,Sobha Realty,Khalid Al Suwaidi,withdrawn,2025-01-16,2025-08-31,658,False,2,True,True,True,True,"Beautiful 1-bedroom studio in prestigious Bay Square, Business Bay. Features 3 bathrooms, 1920 sqft of living space. Perfect for professionals."
LST-000044,4BR Villa in JBR Heights,villa,4,4,2430,3321002,1366,JBR,JBR Heights,Emaar Properties,Rachel Green,withdrawn,2024-09-12,2025-08-31,1266,False,2,True,True,False,False,"Beautiful 4-bedroom villa in prestigious JBR Heights, JBR. Features 4 bathrooms, 2430 sqft of living space. Perfect for families."
LST-000045,5BR Villa in Hills Heights,villa,5,7,2707,5034558,1859,Emirates Hills,Hills Heights,Sobha Realty,Rachel Green,active,2024-11-25,2025-08-31,510,True,2,True,True,True,True,"Beautiful 5-bedroom villa in prestigious Hills Heights, Emirates Hills. Features 7 bathrooms, 2707 sqft of living space. Perfect for families."
LST-000046,1BR Studio in JBR Gardens,studio,1,2,954,815238,854,JBR,JBR Gardens,Meraas,Khalid Al Suwaidi,sold,2024-12-17,2025-08-31,1155,False,3,True,True,False,False,"Beautiful 1-bedroom studio in prestigious JBR Gardens, JBR. Features 2 bathrooms, 954 sqft of living space. Perfect for professionals."
LST-000047,2BR Apartment in JBR Heights,apartment,2,4,2078,2394424,1152,JBR,JBR Heights,Emaar Properties,Fatima Al Qassimi,active,2025-06-02,2025-08-31,1013,False,2,True,False,False,True,"Beautiful 2-bedroom apartment in prestigious JBR Heights, JBR. Features 4 bathrooms, 2078 sqft of living space. Perfect for professionals."
LST-000048,4BR Penthouse in Hills Central,penthouse,4,5,2672,4462194,1669,Emirates Hills,Hills Central,Nakheel,Aisha Al Falasi,withdrawn,2024-09-09,2025-08-31,1064,False,3,True,False,True,False,"Beautiful 4-bedroom penthouse in prestigious Hills Central, Emirates Hills. Features 5 bathrooms, 2672 sqft of living space. Perfect for families."
LST-000049,4BR Apartment in JBR Central,apartment,4,6,2989,4163292,1392,JBR,JBR Central,Omniyat,Abdullah Al Muhairi,withdrawn,2025-08-03,2025-08-31,434,False,3,False,True,True,False,"Beautiful 4-bedroom apartment in prestigious JBR Central, JBR. Features 6 bathrooms, 2989 sqft of living space. Perfect for families."
LST-000050,5BR Townhouse in Ranches Views,townhouse,5,7,2492,3048011,1223,Arabian Ranches,Ranches Views,Omniyat,Jennifer Smith,under_contract,2025-03-24,2025-08-31,1178,True,3,True,True,True,False,"Beautiful 5-bedroom townhouse in prestigious Ranches Views, Arabian Ranches. Features 7 bathrooms, 2492 sqft of living space. Perfect for families."
LST-000051,4BR Penthouse in The Address,penthouse,4,6,2744,5055504,1842,Downtown Dubai,The Address,Deyaar Development,Amanda Davis,under_contract,2025-01-09,2025-08-31,1178,True,3,True,True,True,False,"Beautiful 4-bedroom penthouse in prestigious The Address, Downtown Dubai. Features 6 bathrooms, 2744 sqft of living space. Perfect for families."
LST-000052,1BR Studio in DIFC Central,studio,1,1,1279,1333245,1042,DIFC,DIFC Central,Al Habtoor Group,Amanda Davis,under_contract,2025-01-14,2025-08-31,1153,False,2,False,False,False,False,"Beautiful 1-bedroom studio in prestigious DIFC Central, DIFC. Features 1 bathrooms, 1279 sqft of living space. Perfect for professionals."
LST-000053,1BR Studio in Bay Central,studio,1,1,2288,1500000,655,Business Bay,Bay Central,Dubai Properties,Amanda Davis,withdrawn,2025-02-14,2025-08-31,1409,True,3,True,True,False,True,"Beautiful 1-bedroom studio in prestigious Bay Central, Business Bay. Features 1 bathrooms, 2288 sqft of living space. Perfect for professionals."
LST-000054,1BR Studio in Hills Heights,studio,1,1,2179,1500000,688,Emirates Hills,Hills Heights,Omniyat,Ali Hassan,active,2025-01-02,2025-08-31,1650,False,2,False,True,False,False,"Beautiful 1-bedroom studio in prestigious Hills Heights, Emirates Hills. Features 1 bathrooms, 2179 sqft of living space. Perfect for professionals."
LST-000055,0BR Studio in Jumeirah Residences,studio,0,2,640,413979,646,Jumeirah,Jumeirah Residences,Omniyat,David Wilson,under_contract,2025-07-15,2025-08-31,938,True,0,False,True,False,True,"Beautiful 0-bedroom studio in prestigious Jumeirah Residences, Jumeirah. Features 2 bathrooms, 640 sqft of living space. Perfect for professionals."
LST-000056,3BR Apartment in Marina Promenade,apartment,3,4,1867,1976055,1058,Dubai Marina,Marina Promenade,Sobha Realty,Rachel Green,under_contract,2025-06-04,2025-08-31,408,True,3,True,False,True,True,"Beautiful 3-bedroom apartment in prestigious Marina Promenade, Dubai Marina. Features 4 bathrooms, 1867 sqft of living space. Perfect for families."
LST-000057,4BR Penthouse in Hills Central,penthouse,4,6,1319,5114959,3877,Emirates Hills,Hills Central,Deyaar Development,David Wilson,under_contract,2025-07-24,2025-08-31,954,False,2,False,False,False,False,"Beautiful 4-bedroom penthouse in prestigious Hills Central, Emirates Hills. Features 6 bathrooms, 1319 sqft of living space. Perfect for families."
LST-000058,2BR Penthouse in Bay Views,penthouse,2,2,1681,4779525,2843,Business Bay,Bay Views,Al Habtoor Group,David Wilson,sold,2025-08-19,2025-08-31,1749,False,2,True,True,False,False,"Beautiful 2-bedroom penthouse in prestigious Bay Views, Business Bay. Features 2 bathrooms, 1681 sqft of living space. Perfect for professionals."
LST-000059,3BR Townhouse in Bay Residences,townhouse,3,5,1489,2918438,1959,Business Bay,Bay Residences,Omniyat,Ali Hassan,active,2024-10-13,2025-08-31,1373,True,2,False,True,False,True,"Beautiful 3-bedroom townhouse in prestigious Bay Residences, Business Bay. Features 5 bathrooms, 1489 sqft of living space. Perfect for families."
LST-000060,5BR Townhouse in Burj Views,townhouse,5,5,1911,2559630,1339,Downtown Dubai,Burj Views,Union Properties,Michael Brown,sold,2025-06-07,2025-08-31,576,False,2,False,True,False,True,"Beautiful 5-bedroom townhouse in prestigious Burj Views, Downtown Dubai. Features 5 bathrooms, 1911 sqft of living space. Perfect for families."
LST-000061,6BR Penthouse in Palm Vista,penthouse,6,7,2069,5822775,2814,Palm Jumeirah,Palm Vista,Emaar Properties,Fatima Al Qassimi,active,2025-01-10,2025-08-31,804,False,3,False,True,True,False,"Beautiful 6-bedroom penthouse in prestigious Palm Vista, Palm Jumeirah. Features 7 bathrooms, 2069 sqft of living space. Perfect for families."
LST-000062,1BR Studio in Marina Heights 2,studio,1,3,1153,1132727,982,Dubai Marina,Marina Heights 2,Omniyat,Abdullah Al Muhairi,sold,2024-10-02,2025-08-31,886,True,1,True,True,False,False,"Beautiful 1-bedroom studio in prestigious Marina Heights 2, Dubai Marina. Features 3 bathrooms, 1153 sqft of living space. Perfect for professionals."
LST-000063,7BR Villa in Burj Vista,villa,7,7,3491,5351281,1532,Downtown Dubai,Burj Vista,Omniyat,Rachel Green,under_contract,2025-01-30,2025-08-31,1391,True,3,False,False,True,False,"Beautiful 7-bedroom villa in prestigious Burj Vista, Downtown Dubai. Features 7 bathrooms, 3491 sqft of living space. Perfect for families."
LST-000064,3BR Penthouse in Bay Views,penthouse,3,4,1303,5280680,4052,Business Bay,Bay Views,Dubai Properties,Michael Brown,active,2025-02-08,2025-08-31,615,True,0,False,True,True,True,"Beautiful 3-bedroom penthouse in prestigious Bay Views, Business Bay. Features 4 bathrooms, 1303 sqft of living space. Perfect for families."
LST-000065,4BR Villa in Marina Promenade,villa,4,6,1720,2708554,1574,Dubai Marina,Marina Promenade,Binghatti Developers,Omar Al Zaabi,under_contract,2025-05-03,2025-08-31,722,True,0,False,True,True,False,"Beautiful 4-bedroom villa in prestigious Marina Promenade, Dubai Marina. Features 6 bathrooms, 1720 sqft of living space. Perfect for families."
LST-000066,2BR Apartment in Palm Tower,apartment,2,2,1633,2080426,1273,Palm Jumeirah,Palm Tower,Sobha Realty,Aisha Al Falasi,active,2025-06-02,2025-08-31,593,True,1,False,True,True,False,"Beautiful 2-bedroom apartment in prestigious Palm Tower, Palm Jumeirah. Features 2 bathrooms, 1633 sqft of living space. Perfect for professionals."
LST-000067,0BR Studio in Hills Central,studio,0,1,1531,1241729,811,Emirates Hills,Hills Central,Al Habtoor Group,Sarah Johnson,sold,2025-01-08,2025-08-31,1367,True,0,False,False,False,True,"Beautiful 0-bedroom studio in prestigious Hills Central, Emirates Hills. Features 1 bathrooms, 1531 sqft of living space. Perfect for professionals."
LST-000068,1BR Apartment in Hills Residences,apartment,1,2,1945,1729105,889,Emirates Hills,Hills Residences,Nakheel,Fatima Al Qassimi,sold,2025-02-16,2025-08-31,1273,False,3,False,True,True,True,"Beautiful 1-bedroom apartment in prestigious Hills Residences, Emirates Hills. Features 2 bathrooms, 1945 sqft of living space. Perfect for professionals."
LST-000069,6BR Villa in DIFC Residences,villa,6,7,3557,5255427,1477,DIFC,DIFC Residences,Select Group,Emily Chen,sold,2025-01-24,2025-08-31,690,False,2,True,False,True,True,"Beautiful 6-bedroom villa in prestigious DIFC Residences, DIFC. Features 7 bathrooms, 3557 sqft of living space. Perfect for families."
LST-000070,2BR Penthouse in Burj Vista,penthouse,2,4,2413,5028888,2084,Downtown Dubai,Burj Vista,Nakheel,Sarah Johnson,sold,2024-09-21,2025-08-31,300,False,2,False,True,False,False,"Beautiful 2-bedroom penthouse in prestigious Burj Vista, Downtown Dubai. Features 4 bathrooms, 2413 sqft of living space. Perfect for professionals."
LST-000071,0BR Studio in Jumeirah Heights,studio,0,0,1844,1500000,813,Jumeirah,Jumeirah Heights,Damac Properties,Michael Brown,sold,2025-07-03,2025-08-31,1611,False,1,False,True,False,True,"Beautiful 0-bedroom studio in prestigious Jumeirah Heights, Jumeirah. Features 0 bathrooms, 1844 sqft of living space. Perfect for professionals."
LST-000072,4BR Townhouse in Palm Heights,townhouse,4,5,1312,2101245,1601,Palm Jumeirah,Palm Heights,Nakheel,Khalid Al Suwaidi,active,2025-06-19,2025-08-31,1567,True,0,True,False,False,False,"Beautiful 4-bedroom townhouse in prestigious Palm Heights, Palm Jumeirah. Features 5 bathrooms, 1312 sqft of living space. Perfect for families."
LST-000073,4BR Townhouse in Jumeirah Views,townhouse,4,6,1964,3752724,1910,Jumeirah,Jumeirah Views,Al Habtoor Group,Mohammed Al Rashid,active,2025-06-12,2025-08-31,372,True,0,False,False,False,False,"Beautiful 4-bedroom townhouse in prestigious Jumeirah Views, Jumeirah. Features 6 bathrooms, 1964 sqft of living space. Perfect for families."
LST-000074,3BR Townhouse in Hills Residences,townhouse,3,5,1333,2349572,1762,Emirates Hills,Hills Residences,Damac Properties,David Wilson,withdrawn,2024-12-04,2025-08-31,1416,False,0,True,False,True,True,"Beautiful 3-bedroom townhouse in prestigious Hills Residences, Emirates Hills. Features 5 bathrooms, 1333 sqft of living space. Perfect for families."
LST-000075,4BR Villa in Bay Heights,villa,4,5,1892,3381394,1787,Business Bay,Bay Heights,Emaar Properties,Amanda Davis,withdrawn,2025-06-02,2025-08-31,314,False,1,False,True,False,True,"Beautiful 4-bedroom villa in prestigious Bay Heights, Business Bay. Features 5 bathrooms, 1892 sqft of living space. Perfect for families."
LST-000076,2BR Penthouse in DIFC Heights,penthouse,2,3,2079,4842615,2329,DIFC,DIFC Heights,Azizi Developments,Rachel Green,sold,2025-07-03,2025-08-31,879,True,2,True,False,False,True,"Beautiful 2-bedroom penthouse in prestigious DIFC Heights, DIFC. Features 3 bathrooms, 2079 sqft of living space. Perfect for professionals."
LST-000077,6BR Villa in DIFC Heights,villa,6,8,3340,5393587,1614,DIFC,DIFC Heights,Azizi Developments,David Wilson,sold,2025-05-09,2025-08-31,732,True,0,True,True,False,False,"Beautiful 6-bedroom villa in prestigious DIFC Heights, DIFC. Features 8 bathrooms, 3340 sqft of living space. Perfect for families."
LST-000078,2BR Apartment in Palm Vista,apartment,2,3,1304,1178945,904,Palm Jumeirah,Palm Vista,Nakheel,Mohammed Al Rashid,under_contract,2024-10-13,2025-08-31,1061,False,3,False,False,True,False,"Beautiful 2-bedroom apartment in prestigious Palm Vista, Palm Jumeirah. Features 3 bathrooms, 1304 sqft of living space. Perfect for professionals."
LST-000079,4BR Penthouse in Downtown Views,penthouse,4,5,2511,4177687,1663,Downtown Dubai,Downtown Views,Union Properties,Mohammed Al Rashid,sold,2025-01-06,2025-08-31,975,True,0,False,False,True,True,"Beautiful 4-bedroom penthouse in prestigious Downtown Views, Downtown Dubai. Features 5 bathrooms, 2511 sqft of living space. Perfect for families."
LST-000080,6BR Penthouse in Ranches Residences,penthouse,6,8,1868,4673062,2501,Arabian Ranches,Ranches Residences,Binghatti Developers,Omar Al Zaabi,sold,2024-10-25,2025-08-31,1024,True,0,False,True,False,True,"Beautiful 6-bedroom penthouse in prestigious Ranches Residences, Arabian Ranches. Features 8 bathrooms, 1868 sqft of living space. Perfect for families."
LST-000081,2BR Apartment in Ranches Views,apartment,2,4,1796,2504686,1394,Arabian Ranches,Ranches Views,Union Properties,Lisa Thompson,sold,2025-02-21,2025-08-31,1929,False,3,False,False,True,False,"Beautiful 2-bedroom apartment in prestigious Ranches Views, Arabian Ranches. Features 4 bathrooms, 1796 sqft of living space. Perfect for professionals."
