id,address,price_aed,bedrooms,bathrooms,square_feet,property_type,area,developer,completion_date,view,amenities,service_charges,agent,agency,status,listing_date,last_updated
58,"Building 87, Floor 27, Unit 177, Downtown Dubai, Dubai, UAE",984176,7,4,4578,Serviced Apartment,Downtown Dubai,Damac Properties,2021-06-01,Pool View,"BBQ Area, Maid's Room, Children's Playground, Gym, Pet Friendly, Terrace, Basketball Court",8386,Christina Delgado,"Mcintosh, Lawson and Anderson",Available,2025-03-04,2025-08-24 16:23:04
59,"Building 823, Floor 1, Unit 1, Al Raffa, Dubai, UAE",3285913,4,4,6622,Villa,Al Raffa,Azizi Developments,2023-08-02,Street View,"Parking, Built-in Wardrobes, Central AC, BBQ Area, Spa, 24/7 Maintenance, Garden, Maid's Room",39078,شاكر آل سلطان,"Ramos, Moore and Hess",Available,2025-04-11,2025-08-24 16:23:04
60,"Building 581, Floor 17, Unit 930, Dubai Hills Estate, Dubai, UAE",1957160,0,1,335,Studio,Dubai Hills Estate,Better Homes,2023-09-12,Street View,"Spa, Driver's Room, Walk-in Closet",16974,Amanda Farmer,Garcia LLC,Available,2025-03-24,2025-08-24 16:23:04
61,"Building 828, Floor 42, Unit 740, Dubai Production City, Dubai, UAE",1949317,6,4,2652,Serviced Apartment,Dubai Production City,Aqua Properties,2024-04-10,Sea View,"Swimming Pool, 24/7 Maintenance, Balcony",13437,السيد عدلي آل سلطان,Campbell-Anderson,Sold,2024-10-27,2025-08-24 16:23:04
62,"Building 324, Floor 15, Unit 818, Jumeirah Park, Dubai, UAE",5334499,4,5,2929,Duplex,Jumeirah Park,Azizi Developments,2024-12-18,City View,"Balcony, Furnished, Parking, Pet Friendly, Gym, Walk-in Closet, Garden",23048,سجى آل علي,آل قصير LLC,Available,2025-02-04,2025-08-24 16:23:04
63,"Building 981, Floor 29, Unit 794, Al Warqa, Dubai, UAE",704811,6,2,7708,Triplex,Al Warqa,Better Homes,2024-01-15,Mountain View,"Furnished, Central AC, 24/7 Maintenance",36976,Pamela Morris,حجار-المشاولة,Sold,2024-12-01,2025-08-24 16:23:04
64,"Building 267, Floor 1, Unit 1, Al Satwa, Dubai, UAE",7579478,5,4,3429,Villa,Al Satwa,Damac Properties,2025-12-26,Mountain View,"Security, Parking, Maid's Room",38865,Whitney Scott,الدباغ-الشايع,Rented,2024-10-18,2025-08-24 16:23:04
65,"Building 206, Floor 17, Unit 7, Al Mankhool, Dubai, UAE",6118544,6,4,4452,Duplex,Al Mankhool,Cluttons,2022-03-18,Pool View,"Study Room, Basketball Court, BBQ Area, Garden, Swimming Pool, Walk-in Closet",41928,ناردين بقشان,Parrish-Hughes,Rented,2024-09-20,2025-08-24 16:23:04
66,"Building 68, Floor 47, Unit 941, Al Ruwayyah, Dubai, UAE",2207806,3,4,3822,Loft,Al Ruwayyah,Nakheel,2024-06-13,City View,"Parking, Maid's Room, Tennis Court",25790,Mark Jones,Hicks Group,Under Contract,2024-10-23,2025-08-24 16:23:04
67,"Building 345, Floor 48, Unit 554, Dubai Hills Estate, Dubai, UAE",2293002,0,1,425,Studio,Dubai Hills Estate,Savills,2021-02-26,Street View,"Garden, Driver's Room, Concierge, Walk-in Closet",37731,Sean Moore,"Davis, Oneal and Meyer",Rented,2025-04-16,2025-08-24 16:23:04
68,"Building 771, Floor 1, Unit 1, Dubai Knowledge Park, Dubai, UAE",15298971,7,6,3025,Villa,Dubai Knowledge Park,Union Properties,2021-03-01,Street View,"Children's Playground, Modern Kitchen, Walk-in Closet, Built-in Wardrobes, Tennis Court, Garden",7753,Shane Carson,"Rodgers, Hernandez and Salas",Under Contract,2025-03-20,2025-08-24 16:23:04
69,"Building 263, Floor 17, Unit 730, Al Satwa, Dubai, UAE",1216432,5,5,6285,Loft,Al Satwa,Union Properties,2026-03-03,Street View,"BBQ Area, Maid's Room, Balcony, Spa, Modern Kitchen, Concierge, Security",21769,بهاء آل خضير,"آل عطفة, المشاولة and الجفالي",Sold,2025-07-02,2025-08-24 16:23:04
70,"Building 385, Floor 10, Unit 169, Dubai International Financial Centre, Dubai, UAE",625041,7,3,7962,Triplex,Dubai International Financial Centre,Aqua Properties,2026-03-11,City View,"Swimming Pool, Basketball Court, Concierge, BBQ Area, Security, Study Room, Maid's Room, Walk-in Closet",47160,Sarah Perkins,Wallace-Wyatt,Under Contract,2024-12-25,2025-08-24 16:23:04
71,"Building 151, Floor 12, Unit 448, Dubai Marina, Dubai, UAE",1526453,3,4,2709,Triplex,Dubai Marina,Ellington Properties,2023-10-28,Sea View,"Swimming Pool, BBQ Area, Pet Friendly, Furnished, Garden, Balcony, Security, Walk-in Closet",33313,Randall Barnes,"آل بن لافي, فصيل and آل بن لافي",Under Contract,2024-12-11,2025-08-24 16:23:04
72,"Building 823, Floor 13, Unit 507, Al Nahda, Dubai, UAE",13393943,7,2,4323,Penthouse,Al Nahda,Al Habtoor Group,2025-06-10,Pool View,"Pet Friendly, Built-in Wardrobes, Maid's Room, Security, Study Room, Central AC, BBQ Area",23641,Kayla Acosta,Garcia-Villarreal,Rented,2025-04-09,2025-08-24 16:23:04
73,"Building 397, Floor 1, Unit 1, Al Satwa, Dubai, UAE",11903260,5,2,4953,Villa,Al Satwa,Aqua Properties,2023-08-13,City View,"Pet Friendly, Security, BBQ Area, Basketball Court, Balcony, Terrace",39043,المهندسة بيلسان آل جعفر,Patterson and Sons,Rented,2025-01-12,2025-08-24 16:23:04
74,"Building 68, Floor 1, Unit 1, Jumeirah Beach Residence, Dubai, UAE",11635279,3,2,3743,Villa,Jumeirah Beach Residence,Bloom Properties,2022-07-05,Sea View,"Terrace, 24/7 Maintenance, Walk-in Closet, Children's Playground, Tennis Court, Gym, Garden, Driver's Room",12692,Troy Thomas,مهنا-المغاولة,Rented,2024-12-02,2025-08-24 16:23:04
75,"Building 958, Floor 11, Unit 825, Al Qusais Industrial, Dubai, UAE",10986716,7,3,5494,Penthouse,Al Qusais Industrial,Azizi Developments,2026-05-29,Garden View,"Swimming Pool, Terrace, Study Room, Garden, Walk-in Closet, 24/7 Maintenance, Security",13414,يعرب حنبولي,"Underwood, Edwards and Maxwell",Sold,2025-04-24,2025-08-24 16:23:04
76,"Building 461, Floor 46, Unit 924, Al Safa, Dubai, UAE",10287885,7,4,4128,Penthouse,Al Safa,Cluttons,2021-01-15,Garden View,"Concierge, Basketball Court, Spa, Built-in Wardrobes, Study Room, Parking, Walk-in Closet",47634,Douglas Howard,Cohen Ltd,Rented,2025-06-30,2025-08-24 16:23:04
77,"Building 427, Floor 1, Unit 1, Al Warqa, Dubai, UAE",3133998,5,5,5985,Villa,Al Warqa,Sobha Realty,2020-09-22,Garden View,"Security, Basketball Court, Tennis Court",35093,الدكتور رستم الراشد,Blackwell-Frey,Sold,2024-10-03,2025-08-24 16:23:04
78,"Building 782, Floor 2, Unit 977, Dubai Production City, Dubai, UAE",3001098,3,3,3616,Garden Apartment,Dubai Production City,Knight Frank,2022-12-16,Pool View,"Swimming Pool, Walk-in Closet, Concierge, Furnished, Driver's Room, Basketball Court, Spa, Modern Kitchen",11781,خليفة آل بن ظافر,آل حسين and Sons,Rented,2024-11-24,2025-08-24 16:23:04
79,"Building 526, Floor 47, Unit 406, Al Yalayis, Dubai, UAE",2978509,4,5,4008,Triplex,Al Yalayis,Omniyat,2020-12-01,City View,"BBQ Area, Modern Kitchen, Concierge, Walk-in Closet, Security, Central AC, Terrace",37939,Deborah Mendez,آل جعفر-شربتلي,Rented,2024-10-20,2025-08-24 16:23:04
80,"Building 146, Floor 37, Unit 928, Al Marmoom, Dubai, UAE",7096976,4,4,2778,Duplex,Al Marmoom,Deyaar Development,2024-10-07,Pool View,"Gym, Central AC, Pet Friendly, Balcony, Basketball Court, Driver's Room",42958,المهندس عربي آل جعفر,"آل سلطان, العليان and آل محمد بن علي بن جماز",Available,2024-08-24,2025-08-24 16:23:04
81,"Building 453, Floor 13, Unit 614, Al Lisaili, Dubai, UAE",3774109,3,3,2834,Duplex,Al Lisaili,Chestertons,2023-07-06,Pool View,"24/7 Maintenance, Maid's Room, Security, Swimming Pool, Spa, Built-in Wardrobes, Garden, Central AC",44611,الأستاذ ناظم بقشان,آل مقطة-شربتلي,Under Contract,2024-12-04,2025-08-24 16:23:04
82,"Building 294, Floor 44, Unit 998, Al Wasl, Dubai, UAE",2698609,0,1,515,Studio,Al Wasl,Savills,2020-09-10,Sea View,"Balcony, Central AC, Security, BBQ Area, Basketball Court, Built-in Wardrobes, Walk-in Closet",34054,مايا حنبولي,Sanchez-Hickman,Rented,2025-01-13,2025-08-24 16:23:04
