id,vendor_name,vendor_type,contact_person,email,phone,address,license_number,rating,specializations,contract_start_date,contract_end_date,status,total_projects,average_rating
67,Mitchell-Henry,Painting,Lonnie Crawford,al-bn-zfrwsf@example.com,631-411-3341x276,"740 بشرى Harbors Apt. 221
Port سديم, VA 01200",LIC-33336,4.0,"['Renovation', 'Residential', 'Commercial']",2023-11-19,2028-02-02,Active,70,3.2
68,"آل محمد بن علي بن جماز, آل سعود and أبو داوود",Cleaning,Janice Manning,sbh54@example.net,001-391-396-6241x454,"6434 علوان Glen
الحجارfort, RI 16226",LIC-65494,4.8,"['Renovation', 'Luxury']",2025-03-20,2028-01-04,Suspended,56,4.2
69,"Hudson, Green and Higgins",Contractor,الدكتورة باهرة آل جعفر,sarahsimpson@example.net,807-278-4844x43464,"7685 Hill Well Suite 977
Myersland, MD 95459",LIC-37497,1.6,"['Renovation', 'Residential']",2023-11-04,2026-05-21,Suspended,27,4.2
70,أبا الخيل Group,Contractor,الدكتور مقدام آل عواض,troysharp@example.net,(474)847-9523x8962,"1060 Hurley Rapids
North Seanchester, AZ 49183",LIC-40504,1.0,['Renovation'],2024-09-21,2025-12-04,Suspended,103,3.7
71,"شربتلي, بقشان and آل محمد بن علي بن جماز",Plumbing,Gina Allen,ljbrfrs@example.com,936-485-9688x03159,"422 فوزي Crossroad
عبداللهport, ME 59066",LIC-55935,2.9,"['Maintenance', 'Luxury', 'Commercial']",2024-10-16,2027-04-29,Inactive,15,4.5
72,العليان Ltd,Contractor,ساجد الدباغ,hal-ly@example.net,7223461645,"991 الدباغ Mission Suite 143
East ليمmouth, FM 67494",LIC-66508,3.8,"['Commercial', 'Luxury', 'Residential']",2025-06-03,2026-06-27,Active,59,3.2
73,"Lee, Parrish and Lowe",Contractor,الدكتورة ميسون آل معيض,munyral-sltn@example.org,207-648-7808,"0846 Deborah Glen
Ashleyhaven, AK 47301",LIC-28052,1.4,"['Commercial', 'Renovation', 'Luxury']",2024-10-15,2028-03-19,Active,130,3.4
74,الشايع Ltd,Cleaning,Chris Krueger,sbrylhjr@example.net,421-220-3165x402,"41047 نادي Trail Suite 497
سائدmouth, DC 06770",LIC-67122,4.7,"['Commercial', 'Residential']",2024-07-08,2026-09-13,Suspended,167,3.2
75,Combs LLC,Contractor,Hunter Mcclain,vickiedavis@example.org,4547728520,"PSC 6080, Box 5799
APO AA 86096",LIC-16754,1.3,"['Luxury', 'Commercial', 'Maintenance']",2025-02-20,2028-03-28,Suspended,5,4.8
76,بقشان PLC,Electrical,Stephanie Clayton,ghicks@example.org,001-919-670-8451,"03837 Barbara Plains
East Nicolasfort, IN 70372",LIC-52665,1.0,['Maintenance'],2024-05-11,2028-05-31,Active,51,4.3
77,آل بن لافي and Sons,Plumbing,ملهم أبا الخيل,josephlopez@example.com,303-583-8621,"7013 Mayo Lodge
Nicolestad, TN 99035",LIC-16550,1.3,"['Maintenance', 'Luxury', 'Commercial']",2024-05-02,2025-12-05,Active,176,4.4
78,آل رفيع-آل العسكري,Landscaping,الآنسة ضحى آل بن لافي,al-rfyhy@example.org,(709)256-6806x55149,"6002 Scott Lock Apt. 503
Lisaland, MP 26172",LIC-58364,3.2,"['Renovation', 'Luxury', 'Residential']",2025-02-21,2026-06-26,Active,147,4.4
79,"Burns, Marks and Young",Electrical,Hannah Morris,martinrichard@example.org,(233)693-3485x60884,"490 وفاء Walk Suite 570
آل محمد بن علي بن جمازview, GU 37199",LIC-72845,2.3,"['Maintenance', 'Renovation']",2025-08-19,2026-12-29,Active,42,3.8
80,آل حسين Ltd,Maintenance,Adam Washington,yzydhjr@example.net,+1-416-421-1814x27829,"USCGC Orozco
FPO AE 85001",LIC-32079,3.3,['Residential'],2024-04-15,2025-11-14,Inactive,146,4.7
81,Vasquez Inc,Carpentry,Jasmine Gonzalez,ryd15@example.org,(802)929-6962x623,"USCGC آل سلطان
FPO AP 13650",LIC-70336,2.5,"['Maintenance', 'Luxury']",2024-01-01,2026-02-26,Active,51,4.5
82,Jones-Schmidt,Landscaping,Kathy Phillips,bhernandez@example.org,6957645758,"7918 Christopher Drive
Grahamburgh, DC 88476",LIC-42940,1.8,"['Maintenance', 'Commercial']",2024-05-22,2026-07-01,Inactive,20,4.4
83,Bell-Watson,Landscaping,السيدة اعتماد بن لادن,rmy60@example.com,383.325.1520x2160,"484 أبا الخيل Route
المشاولةstad, MN 48846",LIC-48233,1.9,"['Residential', 'Commercial']",2024-11-14,2026-10-29,Active,94,3.9
84,"Price, Santiago and Jones",Cleaning,Patricia Taylor,ljflydnn@example.net,692-890-3618,"544 حازم Views Suite 365
Lake هاديborough, KS 99740",LIC-69897,2.7,['Luxury'],2025-04-06,2027-03-24,Suspended,177,4.3
85,Oneill and Sons,Security,الأستاذة بثينة آل مقطة,rpotts@example.com,+1-521-935-9222,"098 هاني Centers
West عدوي, MH 28521",LIC-83145,2.5,"['Maintenance', 'Renovation']",2025-06-26,2028-02-13,Suspended,14,5.0
86,Parker LLC,Maintenance,المهندس فطين بقشان,uramirez@example.net,001-471-725-3712x501,"69046 Dodson Turnpike
Lake Staceymouth, ID 63197",LIC-29091,1.0,['Renovation'],2025-02-09,2026-06-04,Suspended,69,3.4
87,"Garcia, Ruiz and Dudley",Electrical,رئيس بقشان,carrjennifer@example.com,643.349.7449,"8520 مظهر Summit Suite 480
East سلمان, MT 02981",LIC-90833,2.6,"['Commercial', 'Maintenance']",2023-11-25,2026-04-20,Inactive,33,3.4
88,Hill Inc,Plumbing,الأستاذ محيي الدّين المغاولة,blkhrfy@example.com,997.432.1608x0599,"707 آل عواض Path Apt. 582
North تامر, GA 90913",LIC-28791,3.5,['Luxury'],2025-04-13,2028-04-22,Inactive,48,4.1
89,George PLC,Electrical,كرمة آل عايض,ral-sltn@example.org,510.862.0744x0185,"USS فصيل
FPO AE 50905",LIC-14875,2.7,['Commercial'],2025-07-01,2027-09-23,Inactive,25,4.9
90,"أبا الخيل, كانو and فصيل",Painting,Colleen Peterson,obn-ldn@example.net,904-661-9547x20007,"6703 آل محمد بن علي بن جماز Manors
West صدقي, IL 33157",LIC-31509,2.6,['Luxury'],2024-08-08,2027-11-03,Suspended,123,4.5
91,"حجار, العليان and آل خضير",Security,Jose Keller,rym93@example.net,001-448-438-6410x5318,"4533 Sandoval Key
East Jamie, AS 60979",LIC-15599,3.7,['Renovation'],2025-07-26,2028-01-16,Active,93,4.6
92,"المغاولة, بن لادن and بقشان",Security,ميرا العليان,schmidtkevin@example.net,001-258-357-0108,"0447 آل معيض Camp Apt. 474
Lake طبّاع, NC 03788",LIC-76700,4.6,['Commercial'],2025-04-21,2026-12-11,Suspended,127,3.8
93,أبو داوود LLC,Landscaping,John Haley,ldbgrymn@example.com,(729)750-6281x1694,"863 Anthony Way Apt. 267
West Branditown, ID 38440",LIC-99283,2.2,"['Luxury', 'Residential', 'Commercial']",2024-06-02,2027-07-23,Inactive,79,4.3
94,"آل جعفر, الحكير and المغاولة",Carpentry,Albert George,wyattcarlson@example.org,690-646-1474x919,"1367 آل علي Underpass Suite 117
كنارton, CA 96740",LIC-17401,2.8,"['Maintenance', 'Luxury']",2024-02-13,2027-11-29,Inactive,181,4.2
95,الخرافي-كانو,Painting,ليم أبا الخيل,al-jfrwsf@example.org,+1-965-950-9136x61660,"4458 Theresa Circles Apt. 823
West Rodneyville, KY 97821",LIC-10830,4.4,"['Maintenance', 'Commercial']",2024-01-26,2026-04-08,Suspended,159,3.3
96,آل سلطان Inc,Electrical,Steven Stewart,pal-bn-lfy@example.org,455-367-6283,"9301 Ryan Village
Lake Albert, TX 84970",LIC-64760,1.1,"['Renovation', 'Residential', 'Commercial']",2025-02-22,2025-09-16,Inactive,83,3.1
97,"Villegas, Valentine and Oconnell",Landscaping,صنديد حجار,jcollier@example.net,411.696.8164x86607,"2980 بن لادن Summit
East حسنينshire, FL 86749",LIC-51413,1.4,"['Commercial', 'Luxury', 'Residential']",2024-02-10,2027-11-14,Inactive,64,4.1
98,آل معيض and Sons,Plumbing,Karina Smith,fwwz66@example.net,964-497-9744x8344,"826 آل خضير Junction Apt. 769
الجابرbury, MS 83178",LIC-93907,2.6,"['Maintenance', 'Commercial']",2025-08-01,2026-04-18,Active,21,4.2
99,"أبا الخيل, الحكير and آل عواض",Security,السيد علم الدّين آل العسكري,barbararowland@example.net,731-758-4603x638,"4569 Benjamin Glen Apt. 543
Yvonneville, ND 34957",LIC-34003,1.1,['Commercial'],2024-08-13,2026-08-01,Active,72,3.8
100,الشايع-العجلان,HVAC,الأستاذ زايد مهنا,vspencer@example.net,280.774.5139x23328,"894 Donovan Heights
Walkerville, MD 55398",LIC-26225,2.6,['Commercial'],2024-05-29,2026-05-07,Active,101,4.7
101,"آل الشيخ, الراشد and الحكير",HVAC,Amy Lopez,jsm18@example.com,001-206-252-9443x0823,"Unit 7068 Box 7347
DPO AE 72638",LIC-99168,3.5,"['Maintenance', 'Commercial']",2025-04-17,2027-12-24,Inactive,141,4.4
102,"Harris, Carlson and Parker",Security,Richard Tran,brownkaren@example.com,649.214.3791x638,"2279 Peterson Greens Apt. 758
New Courtney, NY 86169",LIC-24008,4.9,"['Residential', 'Maintenance']",2024-08-15,2028-02-18,Active,196,4.6
103,"المهيدب, آل العسكري and حجار",Security,Thomas Williams,kathrynlopez@example.net,(745)729-3171,"867 Collins Mountains
Wilsonberg, VA 38831",LIC-20477,2.3,"['Renovation', 'Residential', 'Commercial']",2024-08-31,2027-08-10,Inactive,93,4.6
104,أبو داوود-آل العسكري,Landscaping,السيدة راما الجفالي,yd36@example.com,720.551.7808x3664,"82251 العليان Course
آل سلطانside, FL 02055",LIC-69664,2.9,"['Commercial', 'Maintenance', 'Renovation']",2025-02-14,2027-11-05,Inactive,63,3.6
105,Lopez-Parks,Plumbing,الدكتورة أحلام آل بن ظافر,ndy23@example.org,5077947666,"67622 Kendra Village Suite 466
Trevorberg, OK 26538",LIC-21864,3.6,"['Residential', 'Luxury', 'Maintenance']",2024-02-08,2026-12-27,Suspended,149,3.4
106,Lin-Gonzalez,Contractor,Hannah Powell,ljlnyqwt@example.org,980.939.5275x254,"695 Smith Points Suite 446
Smithview, MI 68232",LIC-86708,4.0,"['Luxury', 'Commercial', 'Renovation']",2024-04-04,2027-03-05,Active,147,4.4
107,"آل صفوان, آل صفوان and آل خضير",Contractor,الأستاذ مازن آل عطفة,mhnmhjwb@example.net,(507)322-5183,"0668 المهيدب Rapid
South رازي, WI 31121",LIC-23876,4.2,"['Renovation', 'Commercial', 'Residential']",2023-12-03,2026-12-14,Inactive,90,4.1
108,آل جعفر-آل رفيع,Plumbing,هيا آل محمد بن علي بن جماز,jennifer87@example.org,+1-414-325-5328x040,"8525 عزّت Drive
مرشدshire, SC 89819",LIC-61878,3.9,"['Commercial', 'Luxury']",2025-01-14,2027-09-17,Inactive,198,3.8
