id,property_id,agent_id,listing_title,listing_description,listing_price,listing_type,status,featured,views_count,inquiries_count,created_date,last_updated,expiry_date,commission_rate
11,490,97,Beautiful Villa in Palm Jumeirah,"Expedita labore reprehenderit rerum dolore magni nulla exercitationem. Ab eum molestiae eligendi similique.
Molestiae ipsa voluptas voluptatibus maiores expedita eos facilis. Ad iure similique quam. Expedita reiciendis quos. Quisquam enim repellat tempora et aliquid in.
Soluta expedita soluta libero. Repudiandae tempore iste dolorem. Ratione quo maiores error.
Quaerat esse dolor. Commodi culpa at voluptate blanditiis doloremque. Ullam tempore alias veritatis magnam.",5150862,Rent,Rented,True,765,33,2025-08-23,2025-07-29,2025-08-24,4.85
12,467,91,Beautiful Apartment in Palm Jumeirah,"Debate cell apply part itself. Institution later career money. Decide learn theory look.
Affect to owner most skill start notice. Dog your research. People still lose when.
Home green none yard usually fight push. Stop require you.
Similar much cut improve. Wonder last record training nice with.
It unit money future than guess improve. Range operation accept win. Term race fly option material. Government partner last then man.",5903914,Sale,Under Renovation,False,574,40,2025-08-23,2025-07-25,2025-08-24,2.36
13,325,13,Beautiful Apartment in Downtown Dubai,"Animi impedit dicta odit. Quasi officia voluptatum natus distinctio ipsum.
Unde aliquam atque impedit aliquid impedit reprehenderit quod. Commodi provident doloribus. Incidunt amet ratione nam ipsa. Ullam corrupti vitae amet dolores.
Est voluptatum labore. Incidunt consequuntur porro deleniti. Repellat occaecati quo ad possimus.",9112674,Sale,Under Construction,True,299,38,2025-08-23,2025-08-05,2025-08-24,3.81
14,290,51,Beautiful Townhouse in Downtown Dubai,"Eveniet reiciendis doloribus doloremque. Neque iure alias tempora nostrum voluptatibus eos. Impedit officiis repellendus consequatur deleniti eius.
Excepturi doloribus magni cumque. Explicabo veritatis non voluptate earum deleniti.
Molestias eaque vitae facilis maxime soluta. Molestiae possimus minus illum debitis unde autem. Voluptates illum provident fuga est esse aut.",9750099,Rent,Rented,False,833,31,2025-08-23,2025-08-04,2025-08-24,4.79
15,51,54,Beautiful Villa in Palm Jumeirah,"Partner fight treatment player. To term difficult office firm model music political. Lead group peace good herself inside.
High senior measure issue even change. Admit need factor campaign statement. Land fund kid could happy sound wait.
Describe interesting federal among former. Open staff need least.
Listen set late available strong picture on. Bed difficult last thought hear.",6304856,Rent,Rented,True,382,15,2025-08-23,2025-08-04,2025-08-24,3.2
16,411,21,Beautiful Townhouse in Downtown Dubai,"Ad maxime voluptates doloribus sequi iusto magni. Consequuntur autem numquam reiciendis dolorem nihil nostrum. Rem quos rerum neque quis. Consequuntur nostrum voluptatibus iusto dignissimos laboriosam natus.
In neque corrupti quidem voluptas dolore qui. Ex ab ex at odio. Laboriosam molestias illo optio.
Rem deleniti esse facere quas dolores.
Iste quam aperiam accusantium voluptas. Quasi omnis perspiciatis magni.",7232347,Sale,Under Contract,False,177,1,2025-08-23,2025-07-31,2025-08-24,3.78
17,206,69,Beautiful Villa in Dubai Marina,"Find mean specific total team evening. According across company event himself forward. Avoid condition three painting treatment town interest us.
Color also can avoid meet really around. Arm focus design paper along hot.
City report moment job detail nor listen. Although test network beautiful minute finish dinner.
Coach environment on herself. Scene local perhaps education lay able summer. Second when sense deal analysis.",9823250,Sale,Rented,True,204,22,2025-08-23,2025-08-12,2025-08-24,4.98
18,335,42,Beautiful Apartment in Palm Jumeirah,"Quos eaque eaque similique. Doloremque possimus a. Aliquam modi illo reiciendis alias quis culpa.
Quod praesentium cum ullam eos. Deserunt optio ipsa praesentium illum aperiam quia. Cum voluptatum veritatis ratione ipsam voluptatum illo.
Voluptatem in sequi. Officiis velit veritatis saepe voluptas. Occaecati blanditiis fugiat ex voluptates amet non.
Voluptatem perspiciatis autem eius sunt nostrum aliquam molestias. Totam perferendis facere minus laborum officia.",13767986,Lease,Under Construction,False,197,21,2025-08-23,2025-08-12,2025-08-24,3.68
19,19,63,Beautiful Apartment in Dubai Marina,"Rerum voluptatum sit quod dolorem cumque eos.
Quidem occaecati accusamus repellat velit nemo. Facere qui nemo exercitationem autem.
Ratione earum atque amet explicabo ea ullam. Consequuntur minima asperiores.
Totam quos corporis. Nemo ut laudantium autem atque quam sed.
Exercitationem non molestias. Esse adipisci ullam sequi debitis minus amet.
Nemo recusandae enim dolorem id cupiditate. Nulla quo eaque voluptates nulla natus praesentium qui.",1859590,Lease,Under Renovation,True,71,4,2025-08-23,2025-08-06,2025-08-24,2.9
20,188,49,Beautiful Townhouse in Downtown Dubai,"Very cold education total magazine vote debate. Song suffer certain lose clear close where.
Stand take perform since. Pm material plan allow sometimes response. Fly political for foot administration eight.
Mr born group majority in. Analysis summer point believe over.
Story range into friend establish. Theory clearly sport plan theory dinner many. And other television building occur pick base.
Power go already concern. Painting happy several new positive red character.",7512164,Lease,Under Renovation,False,848,15,2025-08-23,2025-07-31,2025-08-24,2.22
21,376,69,Beautiful Apartment in Downtown Dubai,"Rock a oil skill. Reflect college one including safe.
Almost as become many yet. Sort Republican me spring financial almost.
Dark see party begin TV. Feeling company low measure senior easy deal. Record defense strong behind of establish evening contain.
Modern consumer night right crime. Movie near those million kitchen. Cultural local amount though three himself first environmental.
Understand economy interesting data structure.",11821029,Lease,Sold,False,975,16,2025-08-23,2025-08-13,2025-08-24,4.65
22,361,100,Beautiful Townhouse in Palm Jumeirah,"All speech world their. Free our idea left bank center.
Hard concern employee include almost. Floor sport spring understand sport. Than because when probably without perhaps similar.
Here writer possible bring goal go. Fear road standard argue anyone you computer.
Themselves bar enjoy performance. Under foreign effort according money teacher gun baby. Prove create test magazine current.
Game born compare cover assume year. Film yeah item high defense.",10678768,Lease,Sold,True,545,31,2025-08-23,2025-08-18,2025-08-24,4.04
23,34,60,Beautiful Villa in Dubai Marina,"Aliquid praesentium blanditiis perspiciatis. Pariatur dolorum nulla aspernatur.
Iusto molestiae eum officiis sunt eligendi veniam. Vel ipsa vero tempora placeat quas adipisci fugit. Libero sit perspiciatis.
Ratione quis vero. Quisquam aliquam minima iure consequatur blanditiis soluta ducimus.
Pariatur porro deleniti officiis iusto hic porro. Impedit facere eum maiores quas. Laudantium quisquam in repudiandae nihil culpa.
Tempora ullam repudiandae odit tenetur commodi aliquam.",9983796,Lease,Under Construction,True,939,2,2025-08-23,2025-08-09,2025-08-24,4.31
24,292,29,Beautiful Apartment in Downtown Dubai,"Placeat eum est quo eligendi. Facere fugit fugit saepe.
Impedit odio ipsam ex sapiente consectetur pariatur. Itaque occaecati architecto minus voluptatum minus.
Corporis quod sit accusantium similique beatae.
Minus hic natus nam similique. Neque tempora sunt saepe perferendis. Accusantium porro quis odio.
Laborum laudantium nemo excepturi molestias. Est necessitatibus laborum nihil fuga.
Eius nisi vero hic perferendis iste voluptates. Voluptatibus aut voluptatem totam.",13391358,Sale,Off Market,False,813,21,2025-08-23,2025-08-03,2025-08-24,2.27
25,134,95,Beautiful Townhouse in Palm Jumeirah,"Quod eius harum labore officia est sed. Delectus reiciendis neque asperiores. Cumque temporibus aliquid quasi non.
Id mollitia mollitia quia quod quos. Velit consequuntur ratione quos voluptas. Numquam in doloribus rem quod.
Omnis corrupti quos ipsam. Et consequatur exercitationem sint.
Optio aperiam ad debitis. Placeat repudiandae sunt minus. Debitis veritatis architecto veritatis non.
Distinctio consequatur unde. Doloribus doloremque facilis.",7930104,Rent,Under Renovation,True,676,4,2025-08-23,2025-08-13,2025-08-24,4.75
26,223,84,Beautiful Townhouse in Downtown Dubai,"Arm door fire represent environment whose treat. Whom four today none. Collection imagine him per size everyone technology.
Suddenly sometimes focus feel daughter walk situation. No another mention usually.
Guess require environmental call. Air consumer instead hand over. Community bring newspaper magazine whom should law.
Hotel fish indicate sport room them. Whether option population affect increase. Practice produce pattern maybe he eye.",8517324,Lease,Available,False,72,20,2025-08-23,2025-08-18,2025-08-24,3.35
27,461,14,Beautiful Villa in Dubai Marina,"Style party across reason nice. Bank product prepare despite. Upon artist soon remember day.
Seven lot though policy. Number dinner mention raise glass air although beat. Son again back how rock certainly sign.
Politics side kitchen foreign. Garden guess prove series become movie course.
Land many shoulder shake minute. Consumer window economic if whole. President senior air analysis.",11781900,Rent,Off Market,False,353,26,2025-08-23,2025-07-27,2025-08-24,3.13
28,226,84,Beautiful Villa in Dubai Marina,"Impedit dolores repellat adipisci.
Assumenda temporibus accusantium quos nisi.
Iusto ratione deserunt quidem possimus. Earum sed deserunt illo nobis earum.
Mollitia necessitatibus id nulla magni unde.
Suscipit accusantium amet labore sequi nesciunt. Dolore nostrum laudantium delectus maiores commodi officiis. Necessitatibus illum vel voluptates.
Aspernatur molestias natus quo hic fuga. Praesentium ipsa dolores at ab quis. Illo consequatur minus deserunt error.",8523108,Lease,Available,False,56,19,2025-08-23,2025-08-09,2025-08-24,4.83
29,374,7,Beautiful Apartment in Dubai Marina,"Totam dolorum voluptatem modi ducimus fuga. Ducimus asperiores quas error optio id officiis.
Quia eos tempora. Distinctio fugit odit deserunt reprehenderit.
Quisquam officia nam assumenda illo ducimus. Quo officia natus dolorum adipisci fugit accusamus. Nobis eius esse ullam vitae.
A hic corrupti quae minus optio similique. Voluptas dignissimos voluptate voluptatibus ut. Amet dolor laboriosam nam alias voluptas a.
Repellat dolorem sint aspernatur nihil voluptatibus numquam.",10373006,Sale,Available,False,667,14,2025-08-23,2025-07-26,2025-08-24,3.1
30,96,76,Beautiful Villa in Downtown Dubai,"Quae consequuntur alias doloremque distinctio nam aliquam. Suscipit aspernatur labore. Provident vitae dolor adipisci excepturi.
Ad velit ipsam dolor temporibus. Impedit quo aliquid distinctio eum deleniti ipsa. Quasi quia repudiandae beatae iusto qui quasi.
Hic hic aperiam impedit. Quas iure eius laboriosam porro aliquid quasi.
Eum nobis animi culpa voluptate. Harum autem quos quidem laudantium perferendis nemo. Ducimus autem cupiditate neque excepturi totam nobis.",9410731,Sale,Off Market,False,513,21,2025-08-23,2025-07-27,2025-08-24,3.95
31,96,90,Beautiful Apartment in Downtown Dubai,"Parent training standard range imagine move dream. Employee cell already relationship off us address. Popular treat concern save quickly sit. Enjoy television activity similar free.
Pretty few need house official building. Region require watch program federal.
Alone center daughter help. Under bad guess baby. Page production fine red election image.
Attorney statement according cut. Reveal several most hand still up lose.",2291078,Sale,Off Market,True,947,44,2025-08-23,2025-08-19,2025-08-24,4.5
32,63,30,Beautiful Apartment in Dubai Marina,"Recusandae distinctio quibusdam atque vero hic eaque.
Quae velit nam unde. Quae suscipit ab sit a. Laudantium harum illo dolorum accusantium molestiae.
Aut eius veniam esse magni ipsa exercitationem quos. Voluptates tempora ab repudiandae rem ullam fugiat.
Soluta consequuntur dignissimos placeat hic eos. Deserunt iure hic distinctio excepturi magnam debitis.",11170917,Sale,Under Renovation,True,357,1,2025-08-23,2025-08-14,2025-08-24,4.24
33,34,72,Beautiful Townhouse in Palm Jumeirah,"Authority they yeah while realize than prevent. Bank enough shoulder throughout wall response Congress. Mr girl century amount production.
Play question hard crime thousand consider. Agent somebody forward difficult. Event subject director build letter. Before wait cup.
Pm question although official model very town generation. Down trouble money risk adult film. Money sort Republican.
Close exactly rich responsibility measure over. Protect present minute everybody entire war.",12511746,Sale,Under Renovation,True,688,39,2025-08-23,2025-07-25,2025-08-24,2.25
34,383,22,Beautiful Villa in Dubai Marina,"Minus asperiores harum a provident. Ratione cupiditate amet laborum commodi. Quis ea mollitia doloremque dolores eos voluptate. Laudantium tempore rem temporibus.
Et maxime reprehenderit ea voluptas eaque. Neque rem quia magnam.
Cupiditate maxime quae ex repudiandae. Quis placeat molestiae alias explicabo harum minima illum. Impedit magni quisquam fuga.
Dicta id inventore ipsum debitis. Quos rem magnam voluptates.",13964780,Sale,Under Construction,False,543,4,2025-08-23,2025-08-07,2025-08-24,3.2
35,449,56,Beautiful Townhouse in Downtown Dubai,"Iusto aut corrupti quia. Dolore repellendus soluta nesciunt labore quod.
Commodi natus ea iusto. Fuga deleniti minima odit dignissimos quos. Iure illum corporis.
Ratione distinctio labore laudantium repudiandae quis. Itaque consequatur necessitatibus inventore fuga doloribus. Totam ullam reprehenderit temporibus officiis beatae.",1632343,Rent,Under Construction,True,378,11,2025-08-23,2025-07-25,2025-08-24,3.84
36,402,32,Beautiful Townhouse in Downtown Dubai,"Corrupti animi consequuntur commodi itaque porro. Saepe at culpa ipsam molestias incidunt eos.
Sunt enim reiciendis dicta qui. Aliquam iste eligendi veritatis iste. Deleniti fuga laborum error.
Accusamus repellendus dolore consectetur. Nulla sunt iure doloribus dolorem autem nam.
Quo in voluptates accusantium assumenda. Sunt dolore deleniti qui ea.
Temporibus numquam ullam beatae a accusantium. Iste animi ipsam fugiat. Cum commodi sapiente aliquid.",5309128,Rent,Rented,False,149,47,2025-08-23,2025-08-23,2025-08-24,4.23
37,297,76,Beautiful Villa in Dubai Marina,"Deserunt fugiat voluptate perspiciatis illum. Atque pariatur sint quae repellendus.
Non vel praesentium voluptates consectetur in quidem. Neque iste eum assumenda nobis quidem eum.
Ratione doloremque quasi maiores iste. Quae cumque ad consequatur soluta occaecati possimus quidem. Deserunt illo placeat quo earum.
Nostrum quos itaque alias maxime consequuntur.
Accusantium quisquam quo sint sint vitae illo. Soluta ipsam quo accusantium.",5575722,Lease,Under Construction,True,116,36,2025-08-23,2025-07-30,2025-08-24,4.99
38,352,45,Beautiful Villa in Downtown Dubai,"Charge day similar form. Majority move for describe discover fine. Well back leader type seven society knowledge.
Grow lose international discover true.
In leader between bag environment body. Experience like article human happen tree player. Couple already kind garden western.
Analysis western standard ok certainly group work. Defense clear ten.
Remain mission drive whole job. Quality peace ahead American magazine mind.",2316294,Rent,Off Market,False,366,38,2025-08-23,2025-08-06,2025-08-24,4.8
39,55,91,Beautiful Villa in Palm Jumeirah,"Deep customer summer value dog difference. Grow marriage name seat economic most near could.
Sense force left room. Bring very day cold TV.
Positive know bank without contain. Race me born outside condition speak wide evening.
Few save country seek everyone so. Design camera size others present material art off.
Picture culture collection full summer necessary. Them four reason movie development find bit. Avoid force catch however popular.",2439787,Rent,Off Market,True,43,26,2025-08-23,2025-08-11,2025-08-24,2.85
40,169,19,Beautiful Villa in Dubai Marina,"Est neque sint voluptas a. At quos vel illo dicta. Adipisci quam occaecati magnam accusantium quis et.
Optio occaecati voluptates eveniet impedit assumenda ad. Quia sed nihil animi non similique.
Reprehenderit veritatis quo libero modi nulla. Sit unde eum accusantium. Reprehenderit molestias distinctio.
Hic deleniti perspiciatis recusandae optio quam. Voluptate iste explicabo doloribus enim. Minima maxime debitis rerum.",13491017,Sale,Off Market,True,566,36,2025-08-23,2025-08-14,2025-08-24,3.15
41,361,28,Beautiful Apartment in Downtown Dubai,"Harum voluptatibus doloribus repellendus qui ipsa. Adipisci tenetur nulla modi.
Incidunt vitae ea aliquid dolore modi. Dicta molestias voluptatem odit quae hic hic. Placeat quisquam deleniti dolorem tempora blanditiis.
Nesciunt ab dolorem doloribus iusto distinctio optio minus. Consequuntur a perferendis excepturi eligendi quia.
Natus reprehenderit eligendi. Necessitatibus nulla eligendi perferendis vero voluptatum ducimus. Veritatis ipsum iusto libero. Perspiciatis qui a vero earum quam quam.",5083938,Rent,Off Market,False,1000,21,2025-08-23,2025-08-12,2025-08-24,2.56
42,95,93,Beautiful Villa in Dubai Marina,"Nam nemo aperiam. Rem aut ut possimus.
Tenetur earum dolorum ullam sit cumque. Ducimus laudantium sapiente enim labore dolores ipsum. Nisi in quisquam quas non nam.
Itaque minus incidunt rem et dolorem quo. Magnam a cum possimus. Praesentium molestiae fugiat.
Numquam nostrum officiis esse cumque. Ducimus impedit labore. Facere dolor dolorum soluta ipsum.",8195709,Rent,Off Market,False,384,36,2025-08-23,2025-07-30,2025-08-24,4.42
43,327,75,Beautiful Townhouse in Dubai Marina,"Corporis deleniti tenetur. Cum delectus vero culpa.
Quod veritatis voluptatibus neque magni. Voluptas nemo eius sit. Ipsam et unde beatae nemo suscipit.
Aut aliquam modi libero cumque molestias temporibus. Autem distinctio ea ipsam quos magni voluptatibus. Inventore perspiciatis dignissimos asperiores dolor.",13406900,Lease,Rented,False,671,23,2025-08-23,2025-08-22,2025-08-24,3.55
44,461,17,Beautiful Townhouse in Palm Jumeirah,"Quos error mollitia tempora. Laborum ea doloremque officiis. Assumenda natus molestiae.
Voluptatibus accusantium aut totam. Accusantium quas doloribus rerum nobis minus molestias. Culpa quod recusandae esse. Molestiae eum explicabo nobis ad.
Totam architecto blanditiis inventore. Quia nisi quae odio id dolorem. Illo quidem dolore officiis. Esse sint ratione error officiis in facilis voluptatum.
Cumque quia ea. Culpa esse quae aliquid. Nisi illo cupiditate nisi aspernatur vel officia.",3235336,Sale,Under Renovation,True,613,34,2025-08-23,2025-08-03,2025-08-24,2.04
45,205,91,Beautiful Townhouse in Dubai Marina,"Corrupti architecto numquam ex aspernatur magnam. Labore molestias nihil expedita sint et. Assumenda fugit voluptas dignissimos quibusdam exercitationem nesciunt. Fuga nemo nobis voluptate nisi ratione.
Aliquid molestias corporis exercitationem porro possimus quaerat. Debitis minus sed exercitationem voluptatibus.
Asperiores dolores cum odit soluta adipisci ab. Ut ipsam eum necessitatibus provident ad. Sint laborum pariatur dolores dignissimos dignissimos quae.",5689208,Sale,Sold,False,749,6,2025-08-23,2025-08-10,2025-08-24,3.31
46,229,66,Beautiful Townhouse in Downtown Dubai,"Research with physical would. Individual project point sound himself plan down. Amount lot mother behavior hold.
Suffer dark mind through effect son relationship. Network investment place ground. Deep everyone organization away happen far kind.
War success meeting analysis war. Woman natural deep standard according support.
Group about letter. Instead similar ahead role. Officer high eye despite plan according sound.",14256045,Rent,Under Contract,True,423,40,2025-08-23,2025-08-18,2025-08-24,2.62
47,167,30,Beautiful Townhouse in Palm Jumeirah,"Sed saepe cumque quibusdam enim libero omnis.
Error qui recusandae ipsum. Dolores iste a id. Sunt blanditiis neque ipsum porro nesciunt saepe.
Modi voluptates quis nesciunt id. Aut aut soluta assumenda pariatur modi blanditiis.
Temporibus omnis fugiat ex nobis nemo dignissimos. Illum fugiat quos illum hic corporis a. Exercitationem asperiores unde rem perspiciatis.
Consequuntur quam eaque. Quaerat alias ipsum commodi eum aliquid illum. Facilis aliquid sit dicta esse.",10345836,Rent,Under Contract,True,379,47,2025-08-23,2025-07-29,2025-08-24,4.57
48,20,6,Beautiful Apartment in Downtown Dubai,"Soluta dolorem eveniet earum. Sunt facilis tenetur in qui provident.
Sed soluta esse nulla totam sit. Ut odit quod incidunt ducimus.
Consequuntur aspernatur rerum aliquam. Cupiditate iure animi unde.
Provident incidunt excepturi expedita veniam explicabo aspernatur. Distinctio laudantium neque sunt non consequatur possimus. Placeat quidem animi dolor iusto expedita accusantium.
Numquam natus esse harum. Similique ratione repudiandae quaerat a vel sapiente.",3412536,Sale,Off Market,False,601,46,2025-08-23,2025-08-07,2025-08-24,3.37
49,427,10,Beautiful Townhouse in Palm Jumeirah,"Enim ullam similique in temporibus esse vitae atque.
Maiores eligendi eaque eveniet asperiores ea. Vero libero eos sed ducimus cum. Animi repudiandae in laudantium ipsam itaque reprehenderit.
Eligendi consectetur provident at atque. Commodi illo neque reprehenderit assumenda illum. Vel aspernatur eum doloribus.
Earum officia porro quasi cumque ipsam laborum. Animi eaque quasi nobis.
Laboriosam excepturi asperiores aspernatur debitis. Possimus ratione neque provident cumque ab.",3897374,Sale,Under Renovation,True,499,12,2025-08-23,2025-08-14,2025-08-24,3.08
50,187,47,Beautiful Apartment in Palm Jumeirah,"Education half reduce growth prevent painting fight station. Article chance I level question. Cost be north pressure.
Statement state course region. Size reflect single security according modern most.
Mention note fast admit real likely fish allow. Ground modern poor deal fly day.
Staff realize while various political total experience. Model identify nation more pretty. Social pick guess face assume.
Argue baby concern again. Join Congress before drug million.",7512509,Rent,Available,True,909,36,2025-08-23,2025-07-28,2025-08-24,2.8
51,1,84,Beautiful Townhouse in Dubai Marina,"Place worry little city section test. Want practice spring into huge.
Recently send west effort. Resource save successful. Head consider involve building let spend your.
Fact turn happy culture it goal. Accept real she red plant certainly expert often. Describe present speak population.
Evening real pretty number. Visit at class condition happen blood available.",11224009,Sale,Off Market,False,532,23,2025-08-23,2025-07-28,2025-08-24,4.08
52,365,75,Beautiful Villa in Palm Jumeirah,"Architecto iste beatae cum asperiores aut veritatis. Omnis esse esse architecto amet.
Maiores reprehenderit quae reiciendis eligendi. Repellendus repellat illum.
Iusto nostrum facilis sunt dolores magni. Eveniet corporis deserunt est amet vitae aliquam. Doloremque doloribus vero aspernatur enim quia. Modi ipsa hic repellat harum repellendus quasi natus.
Dicta dicta beatae magnam minima blanditiis quidem. Dignissimos temporibus laborum libero recusandae cumque quidem.",1287642,Sale,Available,True,364,20,2025-08-23,2025-08-14,2025-08-24,3.57
53,335,62,Beautiful Villa in Palm Jumeirah,"Repellat similique alias earum facere a tempore eius. Est magni at enim. Sed voluptate itaque velit ducimus minima id.
Distinctio neque eaque iste possimus recusandae. Accusantium debitis repellat officia quaerat laborum ducimus. Impedit neque cum dignissimos harum necessitatibus quas fugit.
Ratione error ullam cum voluptate. Vel odit repellat inventore vitae saepe possimus. Soluta eaque iste incidunt laborum.",11460885,Rent,Under Construction,True,332,29,2025-08-23,2025-08-12,2025-08-24,3.34
54,9,90,Beautiful Villa in Downtown Dubai,"Sint non qui.
Fugit ipsam vel sunt autem accusamus. Similique neque ratione id tempora iste provident. Quas iusto repellendus recusandae aspernatur.
Illum minima deleniti. Eius voluptas error cumque. Autem odit ab porro voluptatem quaerat.
Temporibus est praesentium voluptatum pariatur veniam nostrum. Culpa officia maiores laborum consectetur.
Rerum consequatur doloribus assumenda dolorum. Est facilis molestias autem quia nulla. Nostrum corporis incidunt autem.",2373886,Rent,Available,False,390,5,2025-08-23,2025-08-04,2025-08-24,3.03
55,99,96,Beautiful Apartment in Downtown Dubai,"Fear television baby beat score natural.
Kitchen seven scientist. Box major simply director necessary.
Cost common manager recent product animal. Behavior service maybe say follow.
Executive customer onto future approach. Green piece national run Mr partner follow three. Form power produce get kind garden.
Control be physical hundred policy. If six show face. Stuff blue radio grow once receive.",11393602,Sale,Available,False,359,45,2025-08-23,2025-08-04,2025-08-24,3.16
56,280,36,Beautiful Villa in Downtown Dubai,"Quaerat at adipisci aliquid nobis blanditiis. Ex omnis debitis fuga aliquid. Eum sint qui commodi. Omnis labore rem ducimus rerum.
Nisi assumenda quia explicabo asperiores dolorum perspiciatis ut. Laborum adipisci vitae eveniet asperiores tempore ab deserunt.
Autem quo cumque harum impedit nesciunt. Cumque deserunt iste. Porro esse sequi possimus nulla corrupti ab.
Accusantium asperiores aspernatur sit dolorem doloremque amet.",12350028,Lease,Rented,False,775,21,2025-08-23,2025-08-01,2025-08-24,4.77
