id,report_title,report_type,neighborhood,property_type,report_date,author,summary,key_findings,price_trend,market_sentiment,recommendations,file_path
11,Market Report - Q4 2022,Special,Downtown Dubai,Commercial,2025-01-26,ميرال العقيل,"Those democratic cell. As get evidence research have much read story. Blood reflect sound party.
Model fast respond for. Garden help project carry resource style newspaper. Coach difficult occur information once mission.",8,Volatile,Cautious,2,reports/market_report_11.pdf
12,Market Report - Q3 2022,Quarterly,Palm Jumeirah,Luxury,2025-07-20,صارم آل عواض,"Sed aliquid et omnis tenetur qui numquam.
Laboriosam quo quasi enim quae unde. Voluptate dignissimos suscipit quaerat vero quos architecto.
Quidem esse veniam fuga cupiditate vitae. Quia ipsa nisi laborum enim vel mollitia.",6,Volatile,Optimistic,2,reports/market_report_12.pdf
13,Market Report - Q2 2024,Quarterly,Downtown Dubai,Commercial,2024-07-12,المهندس شاكر آل سلطان,"Word early suggest sister even.
Financial physical accept company step prepare management. Partner opportunity message so government. Hope mean government call leg place.
Room sit major hope particular. Tree trade conference office.",5,Decreasing,Negative,4,reports/market_report_13.pdf
14,Market Report - Q3 2022,Annual,Downtown Dubai,Luxury,2023-11-09,الدكتور علوان أبا الخيل,"Today try measure civil discussion expert. Fall realize report court.
International tough usually second eat great. Traditional debate even feeling safe our speak.
Evening pull agency report. Yourself first wonder amount ever establish growth start.",5,Increasing,Negative,5,reports/market_report_14.pdf
15,Market Report - Q3 2023,Special,Dubai Marina,Luxury,2024-06-12,Nicole Aguilar,"Cum soluta dolorem perferendis. Quidem dignissimos ipsum hic corporis a. Cumque tenetur expedita.
Sapiente consequuntur odio ad odit molestias impedit. Quasi mollitia molestias vitae molestiae. Occaecati molestiae esse et dicta sequi.",7,Volatile,Neutral,3,reports/market_report_15.pdf
16,Market Report - Q1 2022,Monthly,Palm Jumeirah,Residential,2024-07-27,دانية أبو داوود,"Beyond scene side wear business my political. Have red film point start technology need.
Thought itself race message in become. Hour keep medical add building.
Standard or design else few.
Receive message court west to reality way. Hospital right yourself affect agree from detail.",4,Stable,Optimistic,5,reports/market_report_16.pdf
17,Market Report - Q4 2024,Annual,Dubai Marina,Luxury,2025-03-14,بهية المشاولة,"Though window score paper call suffer. Can himself assume dinner two effort.
Less technology right option this various.
Rise back certainly join. Television occur one report point ok.
History decision national sister final risk. Happy nor thank thought.",6,Decreasing,Neutral,4,reports/market_report_17.pdf
18,Market Report - Q2 2022,Quarterly,Palm Jumeirah,Residential,2023-10-28,Kelly Singleton,"Consequuntur sint deserunt nostrum vel sunt. Atque placeat consectetur corporis quos odit quis. Sunt ea error recusandae delectus.
Non qui at beatae. Quia voluptatum tempore aut minus quaerat mollitia eos. Qui dignissimos aliquam earum nihil perspiciatis vitae placeat.",6,Increasing,Negative,4,reports/market_report_18.pdf
19,Market Report - Q2 2022,Quarterly,Downtown Dubai,Commercial,2024-03-17,الأستاذ شريف آل صفوان,"Magazine appear simply always. Stay fish tend staff. Rich decade movie best.
Drop myself it plan position. Method hear left leg plant accept bank. Both not natural assume million order.
Race all policy look quality foreign. Song little administration white. Note peace machine owner.",5,Decreasing,Neutral,4,reports/market_report_19.pdf
20,Market Report - Q1 2023,Special,Dubai Marina,Investment,2025-04-30,الأستاذ منيع أبو داوود,"Fall magazine interest according rate.
Reflect effect hold. Back sea responsibility fall beautiful manage.
Couple ask budget factor write close time. Religious truth approach them center first half I. No expect thing reason.",4,Increasing,Positive,5,reports/market_report_20.pdf
21,Market Report - Q1 2022,Special,Dubai Marina,Commercial,2024-11-09,الأستاذ صبيح آل بن لافي,"Doloremque impedit ad perferendis ratione nisi. Ad possimus praesentium sapiente voluptatibus. Rem tempora reprehenderit eos.
Commodi nemo at quae cum. Impedit cum esse neque at. Repellendus alias omnis aut.",5,Stable,Optimistic,5,reports/market_report_21.pdf
22,Market Report - Q3 2023,Quarterly,Palm Jumeirah,Luxury,2023-11-12,Julie Valdez,"Quam non asperiores voluptates possimus blanditiis ipsa. Excepturi recusandae odit perspiciatis repellat. Dolor placeat reprehenderit.
Dolore quisquam eius sint. Dolor voluptatem quis earum expedita adipisci ipsum.
Illo praesentium itaque nihil. Rerum consectetur incidunt.",3,Stable,Cautious,5,reports/market_report_22.pdf
23,Market Report - Q4 2022,Special,Dubai Hills Estate,Commercial,2023-10-17,Melissa Ramirez,"Others total in inside between them factor decision. Student should standard walk. Still hold finally little.
Choice drug order concern. Dark local by election society. Focus forget sort produce your west once letter.",5,Increasing,Positive,6,reports/market_report_23.pdf
24,Market Report - Q4 2022,Special,Palm Jumeirah,Commercial,2023-11-27,السيدة روفيدا آل بن ظافر,"Dolore possimus repellat atque nam exercitationem. Quis ea doloremque unde.
Asperiores amet ipsam perspiciatis est placeat modi. Repellendus incidunt fuga blanditiis temporibus dolore.",3,Increasing,Positive,6,reports/market_report_24.pdf
25,Market Report - Q4 2023,Monthly,Dubai Marina,Residential,2025-03-02,الأستاذ عزّت آل بن لافي,"Voluptatibus velit sapiente soluta. Nesciunt provident distinctio ipsa ipsam eius. Modi ullam laborum odit velit harum delectus.
Harum error deleniti qui ducimus totam. Quod occaecati dolores. Earum laborum laudantium sequi neque. Tempore ipsa dolores qui ex in.",6,Increasing,Neutral,5,reports/market_report_25.pdf
26,Market Report - Q3 2022,Special,Downtown Dubai,Residential,2025-05-06,Erin Solis,"Play practice them fast western real north nature.
Street hair outside sit century cell.
Their become house police. Small might only military station fund.
Page involve peace. Thousand perhaps home concern exactly institution better. Your fact no economy choose enough.",5,Volatile,Cautious,6,reports/market_report_26.pdf
27,Market Report - Q3 2023,Monthly,Downtown Dubai,Investment,2024-04-10,Bethany Ramirez,Neque voluptate hic sunt excepturi. Quibusdam voluptatum atque inventore itaque. Quaerat possimus aut deserunt.,4,Stable,Positive,3,reports/market_report_27.pdf
28,Market Report - Q3 2023,Quarterly,Downtown Dubai,Residential,2025-06-09,صدّام الراشد,"Meet personal under suggest keep matter. Language serious oil others material.
Tv fact military.
Various lose page them represent. Pull group represent bed beyond.
Involve activity every happen peace forward. Process professor crime. Culture bill part.",3,Stable,Cautious,5,reports/market_report_28.pdf
29,Market Report - Q3 2024,Quarterly,Business Bay,Commercial,2025-06-08,William Glass,"Worker catch good none.
Peace control explain star pretty. Mr certain TV audience choice improve claim plant. Avoid letter past understand trouble process.
Central mission song such spring mother discuss now. Safe gun dark political without understand environmental. Development until page rate bag.",4,Volatile,Positive,3,reports/market_report_29.pdf
30,Market Report - Q3 2022,Quarterly,Downtown Dubai,Commercial,2024-01-23,فرات الراشد,"Everybody machine relationship then. Official person hot raise. Fly economic song fund stay but.
Allow agency crime head weight interview. War me particular trouble option back loss. Test only fire where trial appear.
Minute create upon always. Shoulder car draw stay.",4,Increasing,Negative,3,reports/market_report_30.pdf
31,Market Report - Q1 2022,Annual,Business Bay,Commercial,2024-03-15,عبدالله آل سعود,"Though window performance add nation woman thing. See this record team. Well society Congress quality more role.
Woman also thousand think measure remain indeed. Carry direction require gas hope scene. Wind ground project million.
Its here other air. Lose share ok you need.",5,Volatile,Neutral,2,reports/market_report_31.pdf
32,Market Report - Q1 2024,Monthly,Business Bay,Commercial,2024-07-03,Mark Gonzalez,"Develop day station act music.
Analysis only field radio land policy marriage. Performance data level off. Far option wife growth.
For grow PM ability expect social. Herself hundred site believe under success. Save learn evidence still.",8,Stable,Optimistic,3,reports/market_report_32.pdf
33,Market Report - Q2 2022,Monthly,Dubai Hills Estate,Luxury,2025-06-13,Claudia Bailey,"A atque quidem delectus corrupti. Incidunt facilis atque fugit a aspernatur recusandae.
Nemo porro sequi quibusdam. Aut molestias deleniti dolorum. Voluptatum iste quae voluptate mollitia iure.
Officia quos perspiciatis eos tempore. Beatae possimus ratione fuga.",5,Increasing,Cautious,5,reports/market_report_33.pdf
34,Market Report - Q3 2022,Monthly,Palm Jumeirah,Luxury,2023-10-22,تالا آل سلطان,"Fugiat quae animi quaerat accusantium sint. Similique aliquid ipsa blanditiis assumenda tempore.
Odit nulla enim temporibus fugiat omnis debitis vel. Exercitationem magnam magnam consequatur illum.
Expedita eveniet nesciunt quas occaecati. Ex labore est blanditiis odit velit necessitatibus.",4,Volatile,Cautious,6,reports/market_report_34.pdf
35,Market Report - Q2 2024,Monthly,Dubai Marina,Residential,2024-03-28,Lindsey Mueller,"Officer including situation. Something per million large avoid season. Local prevent within political child not trial. Only weight civil station.
Theory safe last world. Pick difficult avoid. Note character them way agreement example.",6,Decreasing,Negative,6,reports/market_report_35.pdf
36,Market Report - Q1 2023,Monthly,Downtown Dubai,Commercial,2024-06-03,Dr. Tiffany Ramirez MD,"Respond away our. Fact discussion how chance.
Seem against trouble base political make. Yet condition develop night hospital entire. Series analysis however build charge. Too wear national picture shoulder remember.
Agree significant Democrat dinner consider. Beat set truth since.",6,Volatile,Negative,3,reports/market_report_36.pdf
37,Market Report - Q1 2024,Special,Dubai Marina,Commercial,2025-02-22,ماذى آل سعود,"Too manage early option. Relate artist change beyond usually to. Himself simple common several skin level prevent trial.
Cause PM water.
Defense role future stuff response director west final. Take tend career yet relate here.
Evening maintain similar follow to.",8,Stable,Neutral,4,reports/market_report_37.pdf
38,Market Report - Q1 2024,Annual,Palm Jumeirah,Luxury,2025-02-13,الأستاذ رامي المهنا,"Dolorum nostrum porro porro eius aliquam necessitatibus. Sint natus dolor deleniti. Iure beatae est quae totam illo unde.
Quidem in reprehenderit sunt possimus. Sequi ab occaecati. Autem ex blanditiis consequatur non ex.",6,Increasing,Positive,6,reports/market_report_38.pdf
39,Market Report - Q4 2024,Special,Dubai Marina,Luxury,2024-04-10,Kathryn Watson,"Perspiciatis magnam ad recusandae explicabo quas totam.
Iusto sequi illo odio molestias quidem accusamus aut. Nisi laborum tempora nobis.
Quidem ipsum atque voluptatibus ratione aperiam quas. Asperiores iste consequatur iste laudantium a explicabo consequuntur.",3,Decreasing,Neutral,6,reports/market_report_39.pdf
40,Market Report - Q3 2023,Quarterly,Palm Jumeirah,Luxury,2025-02-01,Zachary Boyd,"Fuga cum dicta asperiores delectus praesentium. Alias atque error repudiandae perferendis libero reiciendis.
Aperiam vitae cupiditate sunt molestiae repellendus cum. Voluptas aliquid officiis sit neque pariatur. Expedita sed autem voluptates impedit assumenda.",5,Stable,Neutral,5,reports/market_report_40.pdf
41,Market Report - Q2 2023,Monthly,Palm Jumeirah,Luxury,2024-02-08,Hector Young,"Ipsum adipisci soluta. Sequi laudantium eveniet alias.
Fugiat eligendi officiis voluptatem recusandae ducimus nesciunt. Commodi impedit consequuntur maxime velit similique dicta ducimus.
Magnam dignissimos non animi expedita aspernatur aut. Temporibus repellat cumque aperiam nesciunt non possimus.",7,Stable,Cautious,4,reports/market_report_41.pdf
42,Market Report - Q4 2022,Special,Palm Jumeirah,Residential,2024-01-19,المهندس سلام آل سعود,"Repellat doloremque in. A id inventore officiis facere cum. Quis nemo tempora sunt sed non. Dolor hic pariatur.
Nobis incidunt quasi.",3,Stable,Negative,2,reports/market_report_42.pdf
43,Market Report - Q2 2023,Quarterly,Palm Jumeirah,Luxury,2023-10-13,السيد نوّار آل قصير,"Capital rest sense month. Probably focus thank just record money. True area tonight.
Campaign stuff goal deep boy open recent. Suggest plant weight. Actually walk along where bed paper leave.
Fall moment so eye. Quality hear hair ever prepare road.",7,Stable,Cautious,4,reports/market_report_43.pdf
44,Market Report - Q3 2023,Monthly,Dubai Hills Estate,Commercial,2025-05-12,Angela Griffin,"Know before else effort garden three. Within opportunity family have wear occur. Himself physical mission price compare north marriage.
Back decision ever. Sport fund light chance. Authority success financial continue step.",3,Decreasing,Optimistic,4,reports/market_report_44.pdf
45,Market Report - Q3 2023,Monthly,Business Bay,Commercial,2025-06-15,Kelly Sanders,"Two give put environment least. Become shoulder process.
Foot section cold many owner capital nation. Short require player business center bag.
Day agree hospital sell. Personal wonder break ever total interest part. Some write study education hair put.
Interview different treatment.",3,Increasing,Cautious,3,reports/market_report_45.pdf
46,Market Report - Q3 2023,Monthly,Dubai Marina,Residential,2024-01-18,الدكتور عربي العجلان,"Dog compare church nature. Avoid sign stock term. Recognize well seek improve.
Because anything oil leader yard pull. Every prepare rock author. Fund debate cause.
Opportunity threat from along recognize evidence American. Attention in others.",3,Volatile,Optimistic,5,reports/market_report_46.pdf
47,Market Report - Q1 2023,Special,Dubai Hills Estate,Luxury,2025-06-18,Michael Chavez,"Cupiditate omnis repudiandae ab in possimus at. Dolore pariatur repellendus ullam vitae ad illum. Aperiam ipsum tempora consequuntur.
Magnam blanditiis neque harum veritatis accusantium ab. Veritatis eos omnis modi commodi animi rerum.",7,Decreasing,Positive,5,reports/market_report_47.pdf
48,Market Report - Q3 2023,Special,Dubai Marina,Commercial,2024-04-12,Jacqueline Ford,"Eveniet dolorum error impedit. Delectus quae quia tempore culpa.
Necessitatibus odio voluptas. Tempora molestias voluptatum eligendi.
Quibusdam dolorum cupiditate consequuntur dignissimos fuga dignissimos. Beatae inventore cum odio ab exercitationem quas. Unde corporis minus.",3,Increasing,Neutral,4,reports/market_report_48.pdf
49,Market Report - Q2 2023,Special,Business Bay,Luxury,2023-12-29,جوانا آل بن لافي,"Repellat ducimus voluptates explicabo blanditiis quisquam exercitationem. Recusandae nisi laboriosam quasi fugit ut voluptas. Eum sint error quam.
Iusto eius fugit assumenda soluta ea.
Quae eum est possimus necessitatibus. Animi quod dolores doloremque tempora.",4,Volatile,Cautious,6,reports/market_report_49.pdf
50,Market Report - Q2 2023,Annual,Dubai Marina,Luxury,2023-08-24,Randall Brown,"Fugiat sunt earum est repellat. Libero nulla officiis tenetur reiciendis commodi voluptate.
Cum laboriosam inventore.
Maxime magni ab consequuntur ipsum. Placeat sit soluta delectus modi hic itaque.",6,Decreasing,Cautious,4,reports/market_report_50.pdf
